com.samsung.shealth.service_preferences,6307003,1
text_value,service_id,float_value,update_time,create_time,long_value,key,tag,blob_value,int_value,deviceuuid,pkg_name,double_value,datauuid
,,,2025-12-10 14:23:46.229,2025-12-10 14:23:46.229,,oobe.completed,,,1,bvFPH0+ZC9,com.sec.android.app.shealth,,fd8f369b-8191-4e29-819a-b51c4718f214,
,tracker.cycle,,2025-12-10 14:23:47.028,2025-12-10 14:23:47.028,,cycle.shd_consent_status,,,0,bvFPH0+ZC9,com.sec.android.app.shealth,,cycle.shd_consent_status,
,tracker.medication,,2025-12-10 14:23:47.035,2025-12-10 14:23:47.035,,medication.shd_consent_status,,,0,bvFPH0+ZC9,com.sec.android.app.shealth,,medication.shd_consent_status,
,tracker.daily_activity,,2025-01-06 19:19:38.090,2024-07-07 17:18:16.997,1736180378070,daily_activity_all_near_target_cheer_up_time,,,,9cX1oNetDs,com.sec.android.app.shealth,,0ce67054-5cab-4bcc-b922-94e2ba362a3d,
,tracker.daily_activity,,2025-01-06 19:36:20.232,2024-07-03 15:02:47.484,1736181380227,daily_activity_active_time_target_achievement_time,,,,9cX1oNetDs,com.sec.android.app.shealth,,e220628e-4ab6-4125-a60f-bdae603a67a4,
,tracker.daily_activity,,2025-01-06 19:46:52.956,2024-07-03 15:02:45.517,1736182012951,daily_activity_step_target_achievement_time,,,,9cX1oNetDs,com.sec.android.app.shealth,,d020a7e6-a650-43d9-aede-0adc5ffc722a,
,tracker.daily_activity,,2025-01-06 21:30:09.163,2024-07-03 15:02:46.014,1736188209125,daily_activity_active_calorie_target_achievement_time,,,,9cX1oNetDs,com.sec.android.app.shealth,,4952d573-4c1b-4eff-9da9-0d862538b7a6,
,tracker.daily_activity,,2025-01-07 21:35:27.236,2024-07-05 11:47:13.571,1736274927231,daily_activity_yesterday_all_target_checked_time,,,,9cX1oNetDs,com.sec.android.app.shealth,,c6c6e04f-7b93-4584-928f-8ec6c548df83,
,tracker.daily_activity,,2025-01-08 00:12:54.938,2024-07-05 19:39:09.246,1736284374928,daily_activity_all_over_half_target_cheer_up_time,,,,9cX1oNetDs,com.sec.android.app.shealth,,25608226-fa46-44b6-a766-a13b84111d37,
,tracker.daily_activity,,2025-01-14 00:35:03.193,2024-07-03 15:02:48.458,1736804103132,daily_activity_all_target_achievement_time,,,,XLy3VBYEN4,com.sec.android.app.shealth,,498d1acf-9c99-4c9b-a348-bc62940294e6,
,tracker.daily_activity,,2025-02-26 23:35:02.847,2025-02-26 23:35:02.847,1740528000000,da_monthly_goal_one_day_left,,,,XLy3VBYEN4,com.sec.android.app.shealth,,da_monthly_goal_one_day_left,
,tracker.daily_activity,,2025-03-01 03:00:07.734,2025-02-27 22:55:14.857,1740787200000,da_monthly_success,,,,XLy3VBYEN4,com.sec.android.app.shealth,,da_monthly_success,
,tracker.daily_activity,,2025-03-01 03:00:08.214,2025-02-27 23:01:32.523,1740787200000,da_monthly_goal_achieved,,,,XLy3VBYEN4,com.sec.android.app.shealth,,da_monthly_goal_achieved,
"{""05-measure.period"":2,""05-alert.high.enable"":0,""05-alert.low.enable"":0,""08-measure.period"":1,""10-measure.period"":1,""06-skin_temp_enable"":0,""06-snore_setting"":0,""06-snore_setting_new"":0,""37-skin_temp_enable"":0,""34-detection.workout.enable"":0,""44-age.setting.enable"":0,""08-alert.high.enable"":0}",app.settings,,2025-04-01 16:16:13.873,2024-07-03 15:13:16.744,,psm_plus_settings,,,,9cX1oNetDs,com.sec.android.app.shealth,,c153c63e-6958-4441-b40b-2ce2109ccc59,
,app.settings,,2025-04-01 16:16:13.992,2024-07-03 15:13:16.763,,psm_plus_enable,,,0,9cX1oNetDs,com.sec.android.app.shealth,,b68e500e-b879-4b95-a001-8b1993fe7a48,
,tracker.daily_activity,,2025-11-01 19:02:27.903,2025-02-02 01:42:12.062,1761955200000,da_monthly_goal_first_day,,,,XLy3VBYEN4,com.sec.android.app.shealth,,da_monthly_goal_first_day,
,tracker.daily_activity,,2025-12-16 01:01:37.253,2025-01-17 22:45:33.335,1765836097203,da_active_time_achievement_time,,,,9cX1oNetDs,com.sec.android.app.shealth,,da_active_time_achievement_time,
,tracker.daily_activity,,2025-12-13 20:15:00.197,2025-01-17 22:29:31.970,1765646100179,da_step_achievement_time,,,,9cX1oNetDs,com.sec.android.app.shealth,,da_step_achievement_time,
,tracker.daily_activity,,2025-12-16 00:55:08.388,2025-01-17 22:57:18.580,1765835708323,da_active_calorie_achievement_time,,,,9cX1oNetDs,com.sec.android.app.shealth,,da_active_calorie_achievement_time,
,tracker.daily_activity,,2025-12-13 20:15:00.378,2025-01-14 17:35:02.978,1765646100231,da_all_achievement_time,,,,9cX1oNetDs,com.sec.android.app.shealth,,da_all_achievement_time,
"{""05-measure.period"":2,""05-alert.high.enable"":0,""05-alert.low.enable"":0,""08-measure.period"":1,""10-measure.period"":1,""06-skin_temp_enable"":0,""06-snore_setting"":0,""06-snore_setting_new"":0,""37-skin_temp_enable"":0,""34-detection.workout.enable"":0,""44-age.setting.enable"":0,""08-alert.high.enable"":0}",app.settings,,2025-12-15 23:29:02.423,2025-01-17 07:15:46.155,,psm_plus_settings_new,,,,9cX1oNetDs,com.sec.android.app.shealth,,psm_plus_settings_new,
,app.settings,,2025-12-15 23:29:02.582,2025-01-17 07:15:46.156,,psm_plus_enable_new,,,0,9cX1oNetDs,com.sec.android.app.shealth,,psm_plus_enable_new,
,tracker.daily_activity,,2025-12-16 00:35:25.056,2025-01-17 19:10:32.198,1765834525024,da_all_over_half_cheer_up_time,,,,9cX1oNetDs,com.sec.android.app.shealth,,da_all_over_half_cheer_up_time,
,tracker.daily_activity,,2025-12-11 16:50:20.143,2025-01-17 22:15:36.697,1765461020115,da_all_near_cheer_up_time,,,,9cX1oNetDs,com.sec.android.app.shealth,,da_all_near_cheer_up_time,
,tracker.daily_activity,,2025-12-15 23:10:22.726,2025-01-17 13:17:08.220,1765829422569,da_yesterday_all_checked_time,,,,9cX1oNetDs,com.sec.android.app.shealth,,da_yesterday_all_checked_time,
